        Date        , GPU Clock [MHz] , Memory Clock [MHz] , UVD Clock [MHz] , UVD Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , Mem1 VRM Temperature [°C] , Mem2 VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , GPU Voltage [V] , Memory Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2020-03-16 17:13:33 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        651   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               35.0   ,                  5839   ,
2020-03-16 17:13:34 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        651   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               34.9   ,                  5849   ,
2020-03-16 17:13:35 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        651   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               35.0   ,                  5841   ,
2020-03-16 17:13:36 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        646   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               35.9   ,                  5841   ,
2020-03-16 17:13:37 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        646   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               36.3   ,                  5834   ,
2020-03-16 17:13:38 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        646   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               35.1   ,                  5832   ,
2020-03-16 17:13:39 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        646   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               35.0   ,                  5891   ,
2020-03-16 17:13:40 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        646   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               35.5   ,                  5925   ,
2020-03-16 17:13:41 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        646   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               35.5   ,                  5920   ,
2020-03-16 17:13:42 ,         789.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        646   ,                       94   ,                   8.0   ,         0.725   ,            0.675   ,               35.6   ,                  5918   ,
